MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:B6:1F:75:ED:80,2025:03:18 17:30:37:400,-0.74,0.27,-0.1,1.2,-1.2
08:D1:F9:DC:8F:80,2025:03:18 17:30:37:400,-11.67,0.09,0.28,2.82,-1.55
CC:7B:5C:AF:BD:F4,2025:03:18 17:30:37:500,-41.64,6.57,-2.96,-1.99,1.4
B0:B2:1C:8F:6B:C4,2025:03:18 17:30:37:500,-6.54,-0.25,0.27,0.75,1.52
08:B6:1F:75:ED:80,2025:03:18 17:30:37:500,-10.94,3.4,-1.4,1.18,-1.25
08:D1:F9:DC:8F:80,2025:03:18 17:30:37:500,-10.36,-0.41,0.43,-2.38,-1.51
CC:7B:5C:AF:BD:F4,2025:03:18 17:30:37:600,57.54,-10.98,4.37,-1.95,1.37
B0:B2:1C:8F:6B:C4,2025:03:18 17:30:37:600,60.01,1.92,-1.85,0.8,1.53
08:B6:1F:75:ED:80,2025:03:18 17:30:37:600,-13.58,4.03,-1.96,1.12,-1.25
08:D1:F9:DC:8F:80,2025:03:18 17:30:37:600,-15.49,-0.14,0.47,-2.85,-1.54
CC:7B:5C:AF:BD:F4,2025:03:18 17:30:37:700,-40.21,6.94,-1.45,-1.78,1.4
B0:B2:1C:8F:6B:C4,2025:03:18 17:30:37:700,-44.7,-1.54,-0.64,1.97,1.53
08:B6:1F:75:ED:80,2025:03:18 17:30:37:700,6.06,-2.0,0.88,1.16,-1.23
08:D1:F9:DC:8F:80,2025:03:18 17:30:37:700,10.44,-0.11,-0.29,2.77,-1.54
CC:7B:5C:AF:BD:F4,2025:03:18 17:30:37:800,-18.78,3.82,-0.73,-1.76,1.37
B0:B2:1C:8F:6B:C4,2025:03:18 17:30:37:800,-12.21,-0.79,0.21,1.31,1.5
08:B6:1F:75:ED:80,2025:03:18 17:30:37:800,-12.21,3.53,-1.81,1.1,-1.26
08:D1:F9:DC:8F:80,2025:03:18 17:30:37:800,20.59,1.4,-0.51,-1.92,-1.5
