MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:B6:1F:75:ED:80,2025:03:18 16:08:07:400,119.63,-169.71,-93.48,2.07,-0.55
08:D1:F9:DC:8F:80,2025:03:18 16:08:07:400,379.78,-71.65,-40.86,2.09,-1.36
CC:7B:5C:AF:BD:F4,2025:03:18 16:08:07:500,-109.48,-18.42,-28.81,2.57,1.27
B0:B2:1C:8F:6B:C4,2025:03:18 16:08:07:500,379.84,149.46,105.71,2.19,1.12
08:B6:1F:75:ED:80,2025:03:18 16:08:07:500,229.18,8.7,-238.37,-3.11,-0.77
08:D1:F9:DC:8F:80,2025:03:18 16:08:07:500,1303.46,-1034.07,623.9,1.03,-0.82
CC:7B:5C:AF:BD:F4,2025:03:18 16:08:07:600,-776.69,225.98,701.71,-0.31,0.81
B0:B2:1C:8F:6B:C4,2025:03:18 16:08:07:600,-94.07,76.95,-2.06,-1.6,0.89
08:B6:1F:75:ED:80,2025:03:18 16:08:07:600,1537.16,-217.93,-969.38,2.92,-1.0
08:D1:F9:DC:8F:80,2025:03:18 16:08:07:600,-2421.6,684.32,109.52,-1.41,1.29
CC:7B:5C:AF:BD:F4,2025:03:18 16:08:07:700,35.52,-7.31,-9.34,-0.66,1.25
B0:B2:1C:8F:6B:C4,2025:03:18 16:08:07:700,-74.56,512.82,754.65,-0.6,0.08
08:B6:1F:75:ED:80,2025:03:18 16:08:07:700,-120.33,109.0,-68.18,1.01,-0.75
08:D1:F9:DC:8F:80,2025:03:18 16:08:07:700,1488.51,-136.63,38.35,1.3,-1.48
CC:7B:5C:AF:BD:F4,2025:03:18 16:08:07:800,-1774.35,-642.61,-1386.82,2.71,0.86
B0:B2:1C:8F:6B:C4,2025:03:18 16:08:07:800,-105.63,200.26,-106.23,-2.06,0.44
08:B6:1F:75:ED:80,2025:03:18 16:08:07:800,-82.25,-86.44,305.52,0.28,0.25
08:D1:F9:DC:8F:80,2025:03:18 16:08:07:800,305.8,-123.25,176.03,0.61,-0.96
CC:7B:5C:AF:BD:F4,2025:03:18 16:08:07:900,-262.1,20.37,-337.28,-3.08,0.66
B0:B2:1C:8F:6B:C4,2025:03:18 16:08:07:900,-304.76,409.96,-17.93,-1.61,0.64
08:B6:1F:75:ED:80,2025:03:18 16:08:07:900,3.95,-280.61,935.2,0.29,-0.0
