MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:D1:F9:DC:8F:80,2025:03:18 14:53:55:400,-14.15,-6.29,-1.41,-1.35,-1.14
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:55:500,-14.22,0.63,-9.65,-3.08,0.97
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:55:500,0.66,-0.14,-0.16,-0.73,1.25
08:B6:1F:75:ED:80,2025:03:18 14:53:55:500,-8.1,1.21,0.02,1.59,-1.42
08:D1:F9:DC:8F:80,2025:03:18 14:53:55:500,-8.3,-3.7,-0.88,-1.34,-1.14
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:55:600,-8.74,0.46,-5.83,-3.06,0.98
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:55:600,-6.94,1.52,1.73,-0.72,1.25
08:B6:1F:75:ED:80,2025:03:18 14:53:55:600,-6.04,0.77,0.04,1.63,-1.44
08:D1:F9:DC:8F:80,2025:03:18 14:53:55:600,-15.91,-7.11,-1.66,-1.34,-1.14
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:55:700,-5.24,0.27,-3.52,-3.06,0.98
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:55:700,4.85,-1.02,-1.21,-0.7,1.26
08:B6:1F:75:ED:80,2025:03:18 14:53:55:700,-5.25,0.65,-0.06,1.47,-1.45
08:D1:F9:DC:8F:80,2025:03:18 14:53:55:700,-11.67,-5.2,-1.17,-1.35,-1.14
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:55:800,-25.46,1.22,-16.96,-3.07,0.98
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:55:800,-18.16,3.97,4.64,-0.71,1.25
08:B6:1F:75:ED:80,2025:03:18 14:53:55:800,-9.75,1.47,-0.05,1.54,-1.42
08:D1:F9:DC:8F:80,2025:03:18 14:53:55:800,-15.36,-6.37,-1.61,-1.32,-1.17
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:55:900,-16.82,0.95,-11.04,-3.06,0.99
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:55:900,-9.97,2.36,2.47,-0.76,1.24
08:B6:1F:75:ED:80,2025:03:18 14:53:55:900,-2.61,0.4,0.02,1.61,-1.42
08:D1:F9:DC:8F:80,2025:03:18 14:53:55:900,-1.34,-0.56,-0.14,-1.32,-1.16
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:000,2.42,-0.12,1.62,-3.07,0.98
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:000,3.81,-0.84,-0.95,-0.72,1.25
08:B6:1F:75:ED:80,2025:03:18 14:53:56:000,0.84,-0.11,-0.0,1.6,-1.45
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:000,8.44,3.53,0.97,-1.3,-1.16
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:100,8.88,-0.6,6.43,-3.05,0.94
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:100,30.71,-6.3,-6.9,-0.74,1.28
08:B6:1F:75:ED:80,2025:03:18 14:53:56:100,-0.55,0.08,0.0,1.61,-1.43
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:100,98.12,38.77,8.71,-1.35,-1.19
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:200,65.7,-9.64,48.03,-2.94,0.93
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:200,134.27,-15.42,-72.94,-0.21,1.06
08:B6:1F:75:ED:80,2025:03:18 14:53:56:200,5.91,-0.78,0.14,1.4,-1.44
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:200,85.75,48.47,-11.92,-1.81,-1.04
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:300,-113.91,23.61,-102.37,-2.91,0.83
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:300,-61.39,-13.99,28.05,0.46,1.1
08:B6:1F:75:ED:80,2025:03:18 14:53:56:300,31.95,-8.76,0.93,1.46,-1.3
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:300,59.65,61.11,-39.37,-2.14,-0.69
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:400,-354.8,-11.34,103.95,0.11,1.28
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:400,-222.58,64.52,-194.04,-2.82,0.83
08:B6:1F:75:ED:80,2025:03:18 14:53:56:400,-5.34,1.86,-0.05,1.54,-1.24
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:400,187.27,19.19,8.72,-1.14,-1.46
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:500,-98.25,9.91,-132.08,-3.07,0.64
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:500,-242.18,2.17,44.05,-0.05,1.39
08:B6:1F:75:ED:80,2025:03:18 14:53:56:500,37.29,-6.76,0.88,1.44,-1.39
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:500,185.83,-56.32,183.72,0.3,-0.77
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:600,124.6,-11.87,377.09,-3.11,0.32
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:600,391.08,29.68,-166.23,0.18,1.16
08:B6:1F:75:ED:80,2025:03:18 14:53:56:600,16.86,0.65,2.29,-0.28,-1.43
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:600,626.39,173.49,67.18,-1.2,-1.28
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:700,-167.36,-9.95,-136.27,3.07,0.89
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:700,-88.48,18.95,20.99,-0.73,1.26
08:B6:1F:75:ED:80,2025:03:18 14:53:56:700,643.41,172.79,-575.98,-2.85,-0.82
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:700,174.76,-4.77,-9.24,2.67,-1.51
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:800,-626.8,270.68,361.78,-0.64,0.95
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:800,-720.45,-29.29,-531.01,3.09,0.93
08:B6:1F:75:ED:80,2025:03:18 14:53:56:800,281.68,74.93,52.09,-0.96,-1.26
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:800,257.26,34.04,14.85,-1.16,-1.43
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:56:900,-418.32,-379.45,320.22,-2.27,-0.7
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:56:900,277.63,173.92,-520.16,0.32,0.47
08:B6:1F:75:ED:80,2025:03:18 14:53:56:900,286.75,-248.27,755.34,0.32,-0.35
08:D1:F9:DC:8F:80,2025:03:18 14:53:56:900,187.91,143.99,-64.21,-1.99,-0.87
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:57:000,437.39,-266.04,466.7,-2.62,0.68
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:57:000,95.61,290.92,-329.32,0.72,0.21
08:B6:1F:75:ED:80,2025:03:18 14:53:57:000,178.77,272.39,-322.03,-2.44,-0.4
08:D1:F9:DC:8F:80,2025:03:18 14:53:57:000,39.89,505.8,-326.66,-2.14,-0.07
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:57:100,-333.67,37.31,-426.95,-3.05,0.66
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:57:100,-824.07,-160.41,105.42,0.99,1.34
08:B6:1F:75:ED:80,2025:03:18 14:53:57:100,230.75,-86.11,95.73,0.73,-1.06
08:D1:F9:DC:8F:80,2025:03:18 14:53:57:100,407.54,-435.5,257.12,1.04,-0.68
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:57:200,-142.44,27.16,-184.22,-3.0,0.65
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:57:200,-406.64,64.78,230.9,-0.27,1.04
08:B6:1F:75:ED:80,2025:03:18 14:53:57:200,129.91,-15.58,-49.32,2.84,-1.19
08:D1:F9:DC:8F:80,2025:03:18 14:53:57:200,542.15,1241.11,1090.02,-0.85,-0.32
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:57:300,-128.28,6.88,-147.94,-3.1,0.71
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:57:300,-32.35,15.25,9.26,-1.02,1.07
08:B6:1F:75:ED:80,2025:03:18 14:53:57:300,763.94,414.74,-1466.73,-2.87,-0.46
08:D1:F9:DC:8F:80,2025:03:18 14:53:57:300,126.69,22.62,41.32,-0.5,-1.21
CC:7B:5C:AF:BD:F4,2025:03:18 14:53:57:400,-834.52,-94.32,-496.27,2.95,1.03
B0:B2:1C:8F:6B:C4,2025:03:18 14:53:57:400,-667.44,227.11,493.53,-0.43,0.89
08:B6:1F:75:ED:80,2025:03:18 14:53:57:400,-69.98,-3.25,51.84,-3.08,-0.93

08:D1:F9:DC:8F:80,2025:03:18 14:54:17:100,-51.87,-32.26,-16.77,-1.09,-0.96
CC:7B:5C:AF:BD:F4,2025:03:18 14:54:17:200,34.56,-7.75,27.51,-2.87,0.88
B0:B2:1C:8F:6B:C4,2025:03:18 14:54:17:200,-78.34,22.8,40.59,-0.51,1.03
08:B6:1F:75:ED:80,2025:03:18 14:54:17:200,-34.46,2.87,-0.5,1.4,-1.49
08:D1:F9:DC:8F:80,2025:03:18 14:54:17:200,-39.75,-19.92,1.07,-1.62,-1.11
CC:7B:5C:AF:BD:F4,2025:03:18 14:54:17:300,-36.22,4.78,-32.89,-3.0,0.83
B0:B2:1C:8F:6B:C4,2025:03:18 14:54:17:300,3.34,-0.21,-0.49,-0.41,1.41
08:B6:1F:75:ED:80,2025:03:18 14:54:17:300,-7.84,0.98,-0.55,1.06,-1.43
08:D1:F9:DC:8F:80,2025:03:18 14:54:17:300,-5.74,-2.67,-0.6,-1.35,-1.13
