MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:D1:F9:DC:8F:80,2025:03:18 14:37:04:700,-16.06,-2.13,2.11,-2.35,-1.39
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:04:800,-88.59,0.57,6.36,-0.09,1.5
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:04:800,-26.99,-2.0,3.91,0.47,1.41
08:B6:1F:75:ED:80,2025:03:18 14:37:04:800,-13.87,3.35,-1.48,1.15,-1.31
08:D1:F9:DC:8F:80,2025:03:18 14:37:04:800,-15.6,-3.37,2.61,-2.23,-1.3
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:04:900,-36.71,1.11,-4.75,-2.91,1.44
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:04:900,14.38,1.11,-3.34,0.32,1.33
08:B6:1F:75:ED:80,2025:03:18 14:37:04:900,-10.94,1.87,-0.67,1.22,-1.39
08:D1:F9:DC:8F:80,2025:03:18 14:37:04:900,-9.95,-2.7,1.91,-2.19,-1.25
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:000,-39.29,0.27,-3.19,-3.06,1.49
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:000,5.51,-0.05,-1.04,-0.04,1.38
08:B6:1F:75:ED:80,2025:03:18 14:37:05:000,-9.24,1.2,-0.25,1.36,-1.44
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:000,-7.21,-2.49,1.27,-2.04,-1.2
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:100,-5.08,0.11,0.5,-0.21,1.47
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:100,-63.78,4.75,-2.89,-2.12,1.48
08:B6:1F:75:ED:80,2025:03:18 14:37:05:100,-2.1,0.15,0.06,1.93,-1.49
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:100,2.57,1.02,-0.56,-2.07,-1.15
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:200,-24.42,2.54,-1.13,-1.99,1.46
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:200,-2.25,-0.08,0.22,0.36,1.47
08:B6:1F:75:ED:80,2025:03:18 14:37:05:200,-10.1,0.88,0.15,1.74,-1.48
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:200,-1.5,-0.6,0.28,-2.01,-1.15
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:300,5.39,-0.73,0.3,-1.95,1.43
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:300,-30.15,-2.16,3.99,0.5,1.42
08:B6:1F:75:ED:80,2025:03:18 14:37:05:300,4.44,-0.36,-0.06,1.74,-1.49
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:300,-4.15,-1.6,0.81,-2.04,-1.16
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:400,43.96,-5.61,5.66,-2.36,1.39
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:400,-34.61,-2.71,4.84,0.51,1.41
08:B6:1F:75:ED:80,2025:03:18 14:37:05:400,2.95,-0.23,-0.01,1.6,-1.49
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:400,2.71,0.99,-0.48,-2.02,-1.18
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:500,76.0,-4.71,29.42,-2.98,1.2
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:500,-22.32,-3.11,4.92,0.56,1.32
08:B6:1F:75:ED:80,2025:03:18 14:37:05:500,8.58,-0.67,0.27,1.19,-1.49
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:500,2.81,1.02,-0.49,-2.02,-1.19
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:600,137.73,5.2,53.43,3.04,1.2
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:600,32.16,6.29,-5.64,0.84,1.31
08:B6:1F:75:ED:80,2025:03:18 14:37:05:600,15.73,-1.46,0.47,1.26,-1.47
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:600,5.91,1.26,-0.78,-2.12,-1.33
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:700,6.79,0.58,2.18,2.88,1.25
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:700,41.14,7.63,-5.73,0.93,1.34
08:B6:1F:75:ED:80,2025:03:18 14:37:05:700,-28.07,15.41,-5.89,1.21,-1.04
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:700,-42.36,4.85,0.71,1.72,-1.46
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:800,-347.24,-34.26,-144.16,2.91,1.17
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:800,-282.51,-26.99,12.61,1.13,1.47
08:B6:1F:75:ED:80,2025:03:18 14:37:05:800,-11.1,3.51,-2.18,1.01,-1.21
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:800,-46.31,-1.76,5.09,-2.81,-1.46
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:05:900,65.58,13.59,36.17,2.78,1.04
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:05:900,44.84,0.52,-3.53,0.15,1.49
08:B6:1F:75:ED:80,2025:03:18 14:37:05:900,-3.12,0.66,-0.61,0.82,-1.29
08:D1:F9:DC:8F:80,2025:03:18 14:37:05:900,-12.29,-1.7,0.84,-2.03,-1.42
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:000,69.21,-4.79,37.39,-3.01,1.07
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:000,-10.4,0.07,1.58,-0.05,1.42
08:B6:1F:75:ED:80,2025:03:18 14:37:06:000,-5.89,0.97,-1.01,0.76,-1.34
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:000,13.02,3.13,-1.26,-1.95,-1.32
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:100,-52.34,1.2,-2.44,-2.69,1.52
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:100,27.84,0.55,-4.53,0.12,1.41
08:B6:1F:75:ED:80,2025:03:18 14:37:06:100,15.27,-2.46,2.86,0.71,-1.33
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:100,-13.0,-2.28,1.18,-2.05,-1.38
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:200,-95.65,-7.08,15.59,0.43,1.39
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:200,-3.24,-0.28,-0.76,2.79,1.32
08:B6:1F:75:ED:80,2025:03:18 14:37:06:200,-20.84,6.66,-5.08,0.92,-1.19
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:200,-22.67,-2.68,2.8,-2.38,-1.4
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:300,28.85,4.0,4.31,2.39,1.37
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:300,75.95,-1.91,-8.86,-0.21,1.45
08:B6:1F:75:ED:80,2025:03:18 14:37:06:300,-14.75,3.12,-3.23,0.77,-1.28
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:300,25.55,6.34,-2.71,-1.97,-1.31
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:400,-75.29,-17.92,-20.06,2.41,1.23
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:400,-15.3,-1.12,4.86,0.23,1.26
08:B6:1F:75:ED:80,2025:03:18 14:37:06:400,-26.34,8.91,-6.09,0.97,-1.18
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:400,-40.45,-0.89,3.77,-2.91,-1.48
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:500,-115.94,-42.84,-42.03,2.35,1.09
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:500,-74.91,-3.59,35.01,0.1,1.13
08:B6:1F:75:ED:80,2025:03:18 14:37:06:500,-6.86,1.86,-1.29,0.96,-1.25
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:500,-1.35,-0.22,0.18,-2.26,-1.36
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:600,5.65,2.27,2.39,2.38,1.04
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:600,38.2,2.65,-19.37,0.14,1.1
08:B6:1F:75:ED:80,2025:03:18 14:37:06:600,-2.43,0.59,-0.4,0.98,-1.28
08:D1:F9:DC:8F:80,2025:03:18 14:37:06:600,-8.02,-1.14,1.27,-2.41,-1.36
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:06:700,-133.56,-39.89,-38.0,2.33,1.18
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:06:700,-88.41,-6.33,29.75,0.21,1.24
08:B6:1F:75:ED:80,2025:03:18 14:37:06:700,-8.05,2.48,-1.32,1.08,-1.23

CC:7B:5C:AF:BD:F4,2025:03:18 14:37:12:600,-108.91,-72.65,-91.82,2.47,0.75
B0:B2:1C:8F:6B:C4,2025:03:18 14:37:12:600,16.93,0.57,-7.45,0.08,1.16
08:B6:1F:75:ED:80,2025:03:18 14:37:12:600,-4.36,1.48,-0.76,1.09,-1.21
08:D1:F9:DC:8F:80,2025:03:18 14:37:12:600,-0.69,-0.09,0.1,-2.4,-1.38
CC:7B:5C:AF:BD:F4,2025:03:18 14:37:12:700,-146.13,-28.99,11.7,1.19,1.36
