MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:300,7.27,1.76,-16.96,0.1,0.4
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:400,-14.94,-2.72,32.25,0.08,0.43
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:500,-14.7,-3.74,39.0,0.1,0.36
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:600,12.24,3.83,-40.64,0.09,0.29
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:700,12.35,6.02,-38.31,0.16,0.31
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:800,-5.22,-4.09,19.13,0.21,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:27:900,-5.19,-4.12,21.67,0.19,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:000,-1.91,-1.16,6.67,0.17,0.27
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:100,-22.96,-12.9,67.46,0.19,0.32
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:200,-208.88,-41.08,295.05,0.14,0.61
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:300,-884.78,60.19,820.76,-0.07,0.82
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:400,-222.08,-10.73,183.16,0.06,0.88
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:500,680.4,49.97,300.69,-0.16,-1.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:600,192.03,136.56,-66.82,1.12,0.9
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:700,-169.63,16.96,-285.88,0.06,-0.53
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:800,3.72,2.33,-25.72,0.09,0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:28:900,6.74,3.66,-25.43,0.14,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:29:000,-28.28,-21.73,117.26,0.18,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:29:100,-12.17,-8.16,51.37,0.16,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:29:200,-20.9,-11.44,55.11,0.2,0.36

CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:200,2.22,2.04,-16.28,0.12,0.13
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:300,-0.67,-0.74,5.3,0.14,0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:400,0.41,0.48,-3.54,0.13,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:500,1.21,1.29,-10.73,0.12,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:600,1.97,1.86,-14.16,0.13,0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:700,0.74,0.86,-6.34,0.14,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:36:800,0.73,1.03,-7.67,0.13,0.09
