MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:D1:F9:DC:8F:80,2025:03:06 17:54:53:900,-18.52,-0.53,-2.05,-0.25,-1.46
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:000,-29.1,-0.21,-3.9,-0.05,-1.44
08:B6:1F:75:ED:80,2025:03:06 17:54:53:100,88.79,10.71,-0.49,1.52,1.45
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:500,-26.57,-0.03,5.19,0.01,1.38
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:000,-29.1,-0.21,-3.9,-0.05,-1.44
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:55:900,-4.11,1.53,-0.91,1.03,-1.16
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:500,-26.57,-0.03,5.19,0.01,1.38
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:500,-26.57,-0.03,5.19,0.01,1.38
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:600,24.69,0.28,-3.19,0.09,1.44
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:600,24.69,0.28,-3.19,0.09,1.44
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:000,-29.1,-0.21,-3.9,-0.05,-1.44
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:000,-29.1,-0.21,-3.9,-0.05,-1.44
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:000,-29.1,-0.21,-3.9,-0.05,-1.44
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:100,6.56,0.99,1.23,-0.68,-1.34
08:B6:1F:75:ED:80,2025:03:06 17:54:53:200,94.23,23.53,-11.71,1.11,1.3
08:B6:1F:75:ED:80,2025:03:06 17:54:53:300,-213.97,-23.64,19.19,0.89,1.43
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:000,-7.32,2.71,-1.66,1.02,-1.16
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:100,-10.77,3.95,-2.16,1.07,-1.18
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:700,-24.73,0.1,3.98,-0.02,1.41
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:800,-25.6,-0.03,3.76,0.01,1.43
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:55:900,-14.7,0.04,2.17,-0.02,1.42
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:000,-3.01,0.0,0.47,-0.01,1.42
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:100,-15.65,0.03,2.98,-0.01,1.38
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:200,-8.7,-0.1,1.45,0.07,1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:100,6.56,0.99,1.23,-0.68,-1.34
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:200,-5.69,-0.68,-1.01,-0.59,-1.36
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:200,-4.88,1.81,-1.05,1.05,-1.17
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:300,-9.93,3.79,-2.08,1.07,-1.16
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:300,-17.76,-0.13,-3.03,-0.04,-1.4
08:B6:1F:75:ED:80,2025:03:06 17:54:53:400,-209.89,18.45,-2.09,-1.68,1.48
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:400,-7.13,2.73,-1.56,1.05,-1.16
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:400,-20.76,-0.71,-3.6,-0.2,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:500,2.42,0.23,0.47,-0.45,-1.36
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:500,2.42,0.23,0.47,-0.45,-1.36
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:400,-6.72,-0.01,0.99,0.01,1.42
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:400,-6.72,-0.01,0.99,0.01,1.42
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:400,-6.72,-0.01,0.99,0.01,1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:500,2.42,0.23,0.47,-0.45,-1.36
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:500,2.42,0.23,0.47,-0.45,-1.36
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:600,-2.24,-0.07,-0.36,-0.19,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:700,-15.83,-0.42,-2.66,-0.16,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:800,-18.29,-0.89,-3.05,-0.28,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:54:900,-11.79,-0.44,-1.96,-0.22,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:000,-7.54,-0.21,-1.23,-0.17,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:100,-6.94,-0.22,-1.16,-0.19,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:200,-14.92,-0.21,-2.33,-0.09,-1.42
08:B6:1F:75:ED:80,2025:03:06 17:54:53:500,237.25,-2.87,-45.22,-0.06,1.38
08:B6:1F:75:ED:80,2025:03:06 17:54:53:600,-26.42,-6.45,3.25,1.1,1.3
08:B6:1F:75:ED:80,2025:03:06 17:54:53:700,-387.78,-36.17,-11.78,1.89,1.47
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:500,-10.2,3.8,-2.22,1.04,-1.16
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:600,-3.69,1.41,-0.83,1.04,-1.15
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:700,-1.85,0.7,-0.41,1.04,-1.16
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:300,-14.57,-0.37,-2.38,-0.16,-1.41
08:B6:1F:75:ED:80,2025:03:06 17:54:53:800,122.99,-9.57,0.14,-1.59,1.49
08:B6:1F:75:ED:80,2025:03:06 17:54:53:900,51.19,11.64,-5.29,1.14,1.33
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:400,-6.14,-0.02,-0.91,-0.03,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:500,-15.83,-0.07,-2.49,-0.03,-1.41
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:800,-7.45,2.84,-1.63,1.05,-1.16
08:B6:1F:75:ED:80,2025:03:06 17:54:54:000,-247.52,-27.15,13.97,1.1,1.45
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:600,-8.8,-0.34,-1.46,-0.23,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:700,-7.23,-0.14,-1.16,-0.12,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:700,-7.23,-0.14,-1.16,-0.12,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:800,-8.19,-0.08,-1.32,-0.06,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:900,-14.93,-0.28,-2.22,-0.12,-1.42
08:B6:1F:75:ED:80,2025:03:06 17:54:54:100,46.1,0.64,-8.56,0.07,1.39
08:B6:1F:75:ED:80,2025:03:06 17:54:54:200,233.94,30.94,12.69,1.96,1.43
08:B6:1F:75:ED:80,2025:03:06 17:54:54:300,-103.47,-11.99,-4.25,1.91,1.45
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:56:900,-11.74,4.58,-2.65,1.05,-1.15
08:B6:1F:75:ED:80,2025:03:06 17:54:54:400,-204.84,2.04,12.26,-0.17,1.51
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:900,-14.93,-0.28,-2.22,-0.12,-1.42
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:000,-3.4,1.26,-0.76,1.03,-1.16
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:100,743.58,-140.91,502.7,0.27,-0.96
08:B6:1F:75:ED:80,2025:03:06 17:54:54:500,138.73,4.36,-5.48,0.67,1.52
08:D1:F9:DC:8F:80,2025:03:06 17:54:55:900,-14.93,-0.28,-2.22,-0.12,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:000,-24.3,-0.38,-3.73,-0.1,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:100,-14.97,-0.15,-2.34,-0.07,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:200,-15.83,-0.31,-2.58,-0.12,-1.41
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:300,-10.23,-0.12,-1.58,-0.07,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:400,-11.12,-0.19,-1.72,-0.11,-1.42
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:200,-19.46,27.05,-20.65,0.92,-0.52
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:56:900,-33.61,-0.1,5.6,0.02,1.41
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:000,-15.46,-0.08,2.56,0.03,1.41
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:100,78.77,-9.67,-18.45,-0.48,1.31
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:200,237.78,56.6,78.0,2.51,1.19
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:300,-1223.9,-50.56,1468.16,0.03,0.69
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:500,-7.01,-0.14,-1.09,-0.13,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:600,-11.1,-0.05,-1.73,-0.03,-1.42
08:B6:1F:75:ED:80,2025:03:06 17:54:54:600,-63.86,-8.17,-2.54,1.87,1.44
08:B6:1F:75:ED:80,2025:03:06 17:54:54:700,-91.87,-2.28,5.14,0.42,1.51
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:300,384.29,85.17,548.4,2.99,0.61
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:400,1918.55,28.29,134.22,-0.21,-1.5
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:400,153.75,94.19,103.38,2.4,0.83
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:700,-8.61,-0.07,-1.31,-0.05,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:800,-11.67,-0.12,-1.77,-0.07,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:56:900,-12.15,0.06,-1.8,0.03,-1.42
08:D1:F9:DC:8F:80,2025:03:06 17:54:57:000,-3.63,-0.03,-0.58,-0.05,-1.41
08:B6:1F:75:ED:80,2025:03:06 17:54:54:800,15.99,1.44,-0.05,1.54,1.48
08:B6:1F:75:ED:80,2025:03:06 17:54:54:900,-5.1,-0.4,-0.02,1.62,1.49
08:B6:1F:75:ED:80,2025:03:06 17:54:55:000,-21.45,-1.14,-0.21,1.75,1.52
08:B6:1F:75:ED:80,2025:03:06 17:54:55:100,12.55,0.67,-0.04,1.51,1.52
08:B6:1F:75:ED:80,2025:03:06 17:54:55:200,-27.07,-1.72,0.32,1.39,1.51
08:B6:1F:75:ED:80,2025:03:06 17:54:55:300,38.69,0.97,0.08,1.65,1.55
08:B6:1F:75:ED:80,2025:03:06 17:54:55:400,-43.2,-3.41,0.62,1.39,1.49
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:500,-93.23,-56.09,50.31,0.84,0.89
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:600,546.27,-368.38,1576.35,0.23,-0.33
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:500,-86.38,-10.8,-124.18,3.05,0.61
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:600,-679.97,-40.65,644.64,0.06,0.81
08:B6:1F:75:ED:80,2025:03:06 17:54:55:500,-57.43,-1.63,0.43,1.31,1.54
08:D1:F9:DC:8F:80,2025:03:06 17:54:57:200,-49.91,12.56,-10.01,0.9,-1.26
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:700,-285.25,-174.55,-281.29,2.59,0.71
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:700,618.64,-72.74,100.98,0.62,-1.37
08:D1:F9:DC:8F:80,2025:03:06 17:54:57:300,-49.77,12.71,-4.13,1.26,-1.31
08:B6:1F:75:ED:80,2025:03:06 17:54:55:700,-38.18,-3.02,0.41,1.44,1.49
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:800,-123.21,47.71,-13.36,-1.84,1.19
08:B6:1F:75:ED:80,2025:03:06 17:54:55:700,-38.18,-3.02,0.41,1.44,1.49
B0:B2:1C:8F:6B:C4,2025:03:06 17:54:57:800,168.56,692.4,-114.1,1.41,0.24
08:B6:1F:75:ED:80,2025:03:06 17:54:55:800,-34.82,-2.56,0.54,1.36,1.5
CC:7B:5C:AF:BD:F4,2025:03:06 17:54:57:900,-199.23,-11.84,216.99,0.05,0.74

08:D1:F9:DC:8F:80,2025:03:06 17:55:01:600,-345.71,27.7,82.55,2.82,-1.32
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:01:600,-35.26,9.17,-2.08,1.35,-1.31
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:01:700,1.75,-0.36,0.01,1.55,-1.37
08:D1:F9:DC:8F:80,2025:03:06 17:55:01:700,-4.05,-0.29,-0.81,-0.35,-1.36
08:B6:1F:75:ED:80,2025:03:06 17:55:01:600,-164.06,-35.85,57.1,0.56,1.18
08:B6:1F:75:ED:80,2025:03:06 17:55:01:700,-13.0,-0.69,2.0,0.33,1.41
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:600,-208.33,43.7,118.77,-0.35,1.02
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:700,-141.29,-12.31,7.84,1.0,1.47
08:B6:1F:75:ED:80,2025:03:06 17:55:01:800,-174.0,-9.92,-29.9,2.82,1.39
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:700,-141.29,-12.31,7.84,1.0,1.47
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:800,-7.72,-1.05,-0.83,2.24,1.4
08:B6:1F:75:ED:80,2025:03:06 17:55:01:900,-120.47,-6.36,81.8,0.08,0.97
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:01:900,84.78,-13.92,13.28,0.81,-1.35
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:800,-7.72,-1.05,-0.83,2.24,1.4
08:B6:1F:75:ED:80,2025:03:06 17:55:02:000,198.43,-1.99,-18.92,-0.1,1.48
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:000,39.56,-5.42,17.26,0.3,-1.14
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:01:900,-92.3,-13.82,10.56,0.92,1.38
08:D1:F9:DC:8F:80,2025:03:06 17:55:01:800,-45.71,0.05,-1.1,0.04,-1.55
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:000,-64.3,-4.67,22.71,0.2,1.22
08:B6:1F:75:ED:80,2025:03:06 17:55:02:100,121.28,-3.41,27.27,-3.02,1.35
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:100,-195.57,-31.55,59.45,-2.65,-1.24
08:B6:1F:75:ED:80,2025:03:06 17:55:02:200,22.77,-0.35,1.8,-2.95,1.49
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:100,-195.57,-31.55,59.45,-2.65,-1.24
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:100,14.66,2.29,-2.98,0.65,1.32
CC:7B:5C:AF:BD:F4,2025:03:06 17:55:02:200,63.38,10.85,-9.81,0.84,1.34
08:D1:F9:DC:8F:80,2025:03:06 17:55:01:900,-7.11,0.22,-0.74,0.29,-1.46
B0:B2:1C:8F:6B:C4,2025:03:06 17:55:02:200,61.82,-6.56,35.73,0.18,-1.04
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:000,8.09,0.28,1.34,-0.21,-1.4
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:100,-6.43,-0.29,-1.11,-0.25,-1.39
08:D1:F9:DC:8F:80,2025:03:06 17:55:02:200,-4.32,-0.03,-0.72,-0.04,-1.41
