MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

CC:7B:5C:AF:BD:F4,2025:03:06 16:25:02:900,-4.04,0.01,-0.26,-3.11,1.51
08:B6:1F:75:ED:80,2025:03:06 16:25:02:900,-26.22,3.18,2.9,-0.83,1.41
08:D1:F9:DC:8F:80,2025:03:06 16:25:02:900,-25.01,4.05,-7.05,0.52,-1.26
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:000,-7.23,3.08,-2.02,0.99,-1.1
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:000,-30.65,0.54,-4.48,-3.02,1.42
08:B6:1F:75:ED:80,2025:03:06 16:25:03:000,-15.85,2.07,1.68,-0.89,1.4
08:D1:F9:DC:8F:80,2025:03:06 16:25:03:000,-7.98,1.19,-2.14,0.51,-1.27
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:100,0.13,-0.05,0.04,1.0,-1.11
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:100,-7.85,-0.01,-0.59,3.13,1.5
08:B6:1F:75:ED:80,2025:03:06 16:25:03:100,-6.04,0.76,0.63,-0.88,1.41
08:D1:F9:DC:8F:80,2025:03:06 16:25:03:100,-8.22,1.1,-2.12,0.48,-1.29
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:200,-6.9,2.81,-1.88,0.98,-1.11
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:200,-5.46,0.07,-0.67,-3.04,1.45
08:B6:1F:75:ED:80,2025:03:06 16:25:03:200,4.86,-0.53,-0.4,-0.92,1.44
08:D1:F9:DC:8F:80,2025:03:06 16:25:03:200,0.96,-0.13,0.26,0.47,-1.28
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:300,-21.53,9.72,-5.76,1.04,-1.09
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:300,-34.89,-0.24,-3.46,3.07,1.47
08:B6:1F:75:ED:80,2025:03:06 16:25:03:300,-34.07,4.24,3.6,-0.87,1.41
08:D1:F9:DC:8F:80,2025:03:06 16:25:03:300,-0.4,0.06,-0.11,0.52,-1.27
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:400,-28.18,12.98,-8.05,1.02,-1.07
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:400,-24.97,-0.49,-2.18,2.92,1.48
08:B6:1F:75:ED:80,2025:03:06 16:25:03:400,-26.18,3.7,2.48,-0.98,1.4
08:D1:F9:DC:8F:80,2025:03:06 16:25:03:400,9.1,-1.41,2.33,0.54,-1.28
B0:B2:1C:8F:6B:C4,2025:03:06 16:25:03:500,25.49,-10.9,8.45,0.91,-1.07
CC:7B:5C:AF:BD:F4,2025:03:06 16:25:03:500,-48.22,-0.65,-5.79,3.03,1.45
