Lin_Acc_X_t1,Lin_Acc_Y_t1,Lin_Acc_Z_t1,Lin_Acc_X_t2,Lin_Acc_Y_t2,Lin_Acc_Z_t2,Lin_Acc_X_t3,Lin_Acc_Y_t3,Lin_Acc_Z_t3,Lin_Acc_X_t4,Lin_Acc_Y_t4,Lin_Acc_Z_t4,Lin_Acc_X_t5,Lin_Acc_Y_t5,Lin_Acc_Z_t5,Lin_Acc_X_t6,Lin_Acc_Y_t6,Lin_Acc_Z_t6,Lin_Acc_X_t7,Lin_Acc_Y_t7,Lin_Acc_Z_t7,Lin_Acc_X_t8,Lin_Acc_Y_t8,Lin_Acc_Z_t8,Lin_Acc_X_t9,Lin_Acc_Y_t9,Lin_Acc_Z_t9,Lin_Acc_X_t10,Lin_Acc_Y_t10,Lin_Acc_Z_t10,Lin_Acc_X_t11,Lin_Acc_Y_t11,Lin_Acc_Z_t11,Lin_Acc_X_t12,Lin_Acc_Y_t12,Lin_Acc_Z_t12,Lin_Acc_X_t13,Lin_Acc_Y_t13,Lin_Acc_Z_t13,Lin_Acc_X_t14,Lin_Acc_Y_t14,Lin_Acc_Z_t14,Lin_Acc_X_t15,Lin_Acc_Y_t15,Lin_Acc_Z_t15,Lin_Acc_X_t16,Lin_Acc_Y_t16,Lin_Acc_Z_t16,Lin_Acc_X_t17,Lin_Acc_Y_t17,Lin_Acc_Z_t17,Lin_Acc_X_t18,Lin_Acc_Y_t18,Lin_Acc_Z_t18,Lin_Acc_X_t19,Lin_Acc_Y_t19,Lin_Acc_Z_t19,Lin_Acc_X_t20,Lin_Acc_Y_t20,Lin_Acc_Z_t20
0.26,-0.54,-4.59,0.12,-0.26,-2.3,0.47,-0.88,-7.77,0.46,-0.77,-7.08,0.74,-1.59,-12.96,0.26,-0.63,-5.51,0.97,-1.93,-16.97,0.7,-1.37,-12.55,0.3,-0.58,-5.21,-1.73,0.85,12.93,-961.79,-137.4,884.0,-374.69,350.5,664.49,-173.94,188.2,58.1,39.38,-52.13,48.89,-71.43,-211.76,146.02,-10.0,-122.13,77.33,-1.37,-83.5,42.18,0.23,-31.12,14.19,-0.01,0.58,-0.26,0.03,-10.32,5.6
0.47,2.43,-10.31,0.32,1.61,-6.93,-0.18,-0.74,3.19,0.13,0.66,-2.75,0.71,3.18,-13.3,0.1,0.47,-1.91,0.25,1.4,-5.97,0.37,1.88,-7.92,0.56,2.2,-8.71,-83.37,-95.92,208.32,-1812.03,296.05,1711.2,-96.74,20.44,-568.19,1462.31,-692.22,-30.28,20.17,314.56,-76.84,0.74,-57.95,16.42,-20.31,-177.8,118.12,-4.07,-66.7,21.95,-0.33,-26.19,9.51,0.15,17.39,-5.93,0.38,20.89,-7.08
-2.98,7.03,44.45,6.88,-16.05,-82.16,1.01,-2.32,-16.71,0.61,-0.98,-8.16,0.7,-1.15,-9.04,0.69,-1.03,-7.45,-0.05,0.08,0.56,0.35,-0.45,-3.42,-2.85,2.92,23.15,-198.31,67.43,523.55,-652.22,384.17,514.13,-225.13,-80.34,-292.59,1434.21,-2305.13,355.99,-509.32,-421.99,535.07,-2.77,-15.85,-0.68,-14.34,-173.38,137.61,0.58,-33.88,10.11,-0.0,3.05,-0.87,-0.26,-8.27,2.94,0.1,3.09,-1.1
2.38,3.03,-29.71,1.76,2.56,-25.82,-1.09,-1.6,14.64,0.2,0.24,-2.22,0.88,1.3,-11.08,0.89,1.17,-10.75,0.17,0.25,-2.18,1.07,1.66,-13.62,0.79,1.07,-8.79,-3.42,-2.88,22.77,-320.25,-116.49,507.7,-989.69,265.08,958.74,494.84,139.11,31.86,937.65,-947.36,22.86,19.95,202.44,-256.46,45.92,-115.35,-29.06,17.92,-163.5,151.8,0.0,-11.5,2.11,-0.24,-37.87,16.46,0.12,7.24,-2.67
-2.51,1.0,9.82,2.22,-1.02,-8.85,-1.08,0.54,4.67,1.98,-0.69,-7.82,3.56,-1.16,-13.47,-2.9,0.98,10.81,1.53,-0.53,-5.88,3.34,-1.25,-12.92,1.06,-0.38,-3.97,0.11,-0.04,-0.39,-133.05,43.73,183.72,-816.59,131.42,505.51,-235.24,-53.36,262.57,174.1,-240.28,335.21,198.85,-17.14,3.49,1.6,4.94,-8.43,-46.48,-165.29,109.01,-8.85,-53.38,23.38,-4.8,-43.96,18.37,-3.71,-43.93,17.37
-0.13,-0.94,-4.61,-0.08,-0.55,-2.72,-0.18,-1.95,-9.84,-0.29,-2.3,-11.2,-0.31,-1.91,-9.72,-0.55,-4.42,-21.81,-0.14,-1.05,-5.25,-0.19,-1.37,-6.75,-0.06,-0.48,-2.35,0.46,2.74,12.35,0.0,6.99,32.87,-256.41,169.14,468.64,-777.25,31.48,525.91,-145.58,-133.06,174.78,640.35,-485.73,811.5,38.11,-16.13,20.91,19.77,120.3,-8.63,-3.3,-120.1,117.08,0.25,12.13,-1.7,-0.94,-20.81,8.29
0.0,-0.49,-2.87,0.01,-1.11,-6.77,-0.0,0.06,0.4,0.04,-1.24,-7.86,0.01,-0.77,-4.66,0.11,-2.91,-17.62,0.03,-0.75,-4.78,0.0,0.35,2.15,0.04,-0.67,-4.13,-73.11,57.55,373.64,-605.7,420.54,811.78,-708.71,-372.61,51.64,273.31,-619.27,349.85,292.12,189.82,142.78,-268.77,-359.2,340.47,3.58,-64.54,0.18,-12.6,-86.44,25.61,-16.71,-142.29,44.91,-1.1,-8.8,1.62,2.17,16.26,-4.06
-1.58,-2.13,-21.35,-2.3,-2.71,-25.18,-0.05,-0.07,-0.57,1.96,3.44,28.51,0.71,1.01,8.48,-2.53,-2.69,-26.22,-0.43,-0.6,-5.27,-0.69,-1.08,-10.22,0.12,0.25,2.06,-0.44,3.06,21.34,-131.84,88.89,289.5,-682.96,141.43,796.62,-336.8,-195.92,174.08,88.31,-103.87,151.24,273.66,-687.49,542.05,27.99,295.71,159.81,-54.86,-218.55,165.66,-18.51,-208.22,46.02,-6.13,-42.48,8.82,2.37,25.16,-7.03
-0.78,-0.51,-6.82,-0.76,-0.46,-6.91,-0.9,-0.57,-7.84,0.26,0.17,2.27,-0.03,-0.02,-0.22,-0.75,-0.53,-6.74,0.1,0.07,0.84,-0.74,-0.44,-6.04,-2.06,-1.28,-17.1,1.73,1.82,22.3,-245.23,143.49,521.77,-495.2,130.64,601.57,-217.66,-44.92,148.48,40.1,230.96,-135.53,441.92,78.53,273.14,-99.97,-163.76,125.52,-98.6,-507.5,97.91,0.54,-51.03,-3.94,-3.66,-67.5,30.44,-5.54,-49.9,15.42
-1.89,-3.48,-16.57,-1.43,-2.58,-12.26,-1.41,-2.37,-11.8,-1.24,-2.31,-11.36,-0.53,-0.97,-4.81,-0.26,-0.47,-2.42,-1.32,-2.42,-12.9,-0.05,-0.11,-0.58,0.27,0.56,2.93,-0.66,28.57,149.73,-534.45,170.97,633.45,-1119.5,-360.47,788.93,587.43,-213.69,512.77,378.33,-283.27,397.42,-144.84,-164.63,84.69,-95.47,-351.76,157.13,-0.16,-3.9,0.3,-0.05,-0.48,0.18,2.78,17.58,-5.24,-8.16,-39.97,10.47
0.21,-0.66,-11.03,0.34,-0.66,-10.51,0.36,-0.93,-14.72,0.01,-0.03,-0.44,0.13,-0.29,-4.31,0.1,-0.22,-3.22,0.0,-0.0,-0.03,-2.28,1.74,27.44,-49.93,12.94,157.6,-351.61,19.3,520.66,-516.58,-230.36,498.1,1.28,-191.94,190.87,76.38,27.89,24.75,-872.92,-384.26,-120.08,-504.99,-599.64,385.62,-122.78,-249.7,3.7,-20.95,-65.62,15.15,0.44,1.57,-0.48,1.37,5.25,-1.64,-2.99,-12.34,3.12
-0.04,0.03,1.08,0.27,-0.16,-7.0,0.35,-0.25,-8.79,0.07,-0.06,-2.2,0.3,-0.16,-6.7,0.11,-0.08,-2.92,0.51,-0.4,-12.69,0.16,-0.1,-3.57,-2.74,0.92,35.33,-196.09,10.87,503.39,-813.36,230.72,923.43,-361.35,-333.32,135.42,432.65,-26.94,471.7,-449.64,-1174.52,-37.89,-22.45,70.97,-2.33,-18.44,81.0,-55.67,2.77,54.28,-16.37,-0.36,-1.95,0.43,-0.14,-0.66,0.2,-0.15,-0.62,0.15
-0.02,-0.02,-0.62,-0.19,-0.17,-7.41,-0.35,-0.36,-13.28,-0.24,-0.25,-9.28,-0.3,-0.24,-9.13,-0.26,-0.2,-9.4,-0.11,-0.11,-4.32,0.07,0.23,7.51,-2.75,2.48,47.08,-92.2,8.72,318.72,-282.62,73.66,526.52,-270.62,-44.0,333.0,-46.8,-94.58,65.23,201.28,133.82,146.82,-516.38,-713.54,84.03,-63.7,158.39,-96.64,0.68,111.18,-43.52,-21.08,-100.76,46.12,-6.28,-28.84,10.34,0.23,1.14,-0.36
0.02,-0.26,-2.89,0.02,-0.87,-10.72,0.01,-0.08,-0.98,0.01,-0.29,-3.52,0.01,-1.14,-13.45,0.07,-0.44,-5.0,-0.15,0.82,9.68,-1.1,1.63,16.77,-4.57,5.23,48.92,-23.61,12.23,114.79,-264.19,64.24,409.14,-828.19,-33.96,768.23,52.22,-150.99,170.1,-47.13,-20.44,-29.72,-226.93,-463.07,34.76,73.03,245.88,-28.17,-11.42,-23.89,10.37,-30.86,-96.92,22.65,-0.38,-1.25,0.24,4.94,15.62,-4.42
-0.33,-0.89,-7.97,-0.03,-0.12,-1.06,0.08,0.27,2.3,0.09,0.25,2.33,-0.41,-1.13,-10.5,-0.3,-0.94,-8.78,-0.02,-0.07,-0.67,-0.3,-0.94,-8.92,-0.19,-0.75,-7.05,-1.55,3.66,30.43,-338.19,171.48,662.95,-552.5,109.33,980.81,-7.8,-101.22,90.91,60.14,10.06,45.76,-16.98,-53.99,4.46,44.47,212.85,-22.1,-91.54,-160.44,80.3,-7.73,-24.06,5.68,7.29,23.55,-5.6,-6.31,-20.35,6.07
-0.87,-0.64,-12.02,-0.39,-0.25,-5.42,-0.61,-0.38,-8.06,-0.54,-0.32,-6.79,-0.31,-0.19,-4.14,-0.29,-0.17,-3.49,-0.91,-0.63,-13.78,-1.03,-0.68,-14.26,0.09,0.06,1.33,-0.34,-0.32,-6.1,-61.95,29.78,269.11,-826.78,421.57,1224.12,16.18,17.13,-41.47,200.22,-152.04,197.07,-145.16,320.77,8.7,152.87,121.4,75.11,-135.84,-289.08,208.46,-32.29,-125.71,12.23,-8.4,-35.29,10.32,-0.31,-1.15,0.25
0.98,-1.2,-8.07,0.72,-0.97,-6.12,-0.16,0.22,1.34,0.4,-0.48,-3.06,1.81,-2.13,-14.21,0.62,-0.69,-4.67,-0.35,0.45,2.75,1.29,-1.57,-10.03,2.13,-2.59,-16.19,-0.82,0.91,5.9,-166.46,27.39,263.14,-920.86,342.27,1362.8,88.92,-145.77,90.54,14.1,7.35,11.49,-355.36,-799.79,113.92,3.61,45.63,3.71,4.12,13.84,-9.5,-23.0,-78.33,18.14,-2.19,-8.05,2.13,2.48,9.55,-3.28
-0.05,-0.79,-16.9,-0.05,0.39,8.15,0.02,0.82,18.93,-0.06,-1.76,-28.03,0.07,-0.5,-8.07,0.08,-0.24,-3.96,-0.06,0.16,2.82,-0.05,0.07,1.25,-4.14,3.48,49.02,-136.82,33.25,309.67,-828.84,30.14,952.75,-121.96,-235.57,167.07,480.42,-78.83,344.44,-104.11,-508.55,67.69,42.15,254.31,44.27,-91.95,-167.59,152.46,-6.14,-25.03,4.3,-6.26,-18.71,7.65,-2.23,-7.58,2.77,-1.74,-5.47,1.92
-0.03,0.12,1.73,-0.02,0.06,0.86,0.1,-0.53,-6.97,0.03,-0.39,-5.14,0.13,-0.69,-8.78,0.16,-0.72,-10.59,-0.07,0.22,3.41,-0.02,0.05,0.74,-0.02,0.06,0.83,-77.63,18.46,274.69,-563.44,230.66,887.41,-182.64,-124.37,80.75,704.32,-987.02,953.05,137.65,-291.18,870.18,-53.86,-92.15,-100.07,-68.21,-313.1,286.05,28.56,104.54,-13.24,-15.76,-51.38,21.5,-1.24,-4.6,1.06,-3.96,-13.99,4.68
0.96,-2.4,-87.56,-0.05,-0.37,-11.47,1.33,-2.65,-22.16,-0.59,1.74,11.49,-0.46,2.02,17.73,0.08,-0.68,-5.58,0.01,-0.04,-0.32,0.03,-0.24,-1.9,-0.56,1.27,10.18,-98.09,36.05,287.26,-518.65,160.38,907.77,-14.14,-5.43,11.52,172.66,-329.49,276.89,-99.03,-29.09,-124.26,-157.05,-369.22,-34.74,-3.43,66.89,-48.5,-4.59,-28.94,11.72,-15.5,-83.7,36.34,6.11,38.91,-12.31,1.38,7.85,-2.92
-2.94,-3.25,-22.4,-0.29,-0.33,-2.48,-0.54,-0.63,-4.64,-1.23,-1.43,-10.17,-0.72,-0.8,-6.14,-1.06,-1.13,-8.44,-0.85,-0.98,-7.19,0.66,1.13,7.77,-7.87,27.56,142.6,-188.83,86.93,536.54,-196.22,31.58,338.59,-39.9,-71.87,36.76,237.98,-30.21,318.36,32.93,-422.0,219.56,-106.49,385.71,218.85,-101.51,-289.34,292.62,10.55,80.36,-19.36,-14.93,-76.42,47.14,-2.6,-13.88,5.58,-1.33,-8.81,4.38
31.83,-20.92,-229.5,-9.2,9.41,53.23,-18.1,23.59,74.4,-30.84,41.3,146.02,5.87,-10.04,-49.32,3.39,-4.41,-28.59,-2.34,2.73,16.35,-6.41,6.41,33.91,-36.31,24.66,108.72,-442.0,182.38,482.04,-668.24,-365.86,202.32,385.7,-403.4,615.31,434.67,-614.33,652.76,32.57,37.37,-12.67,-46.3,-171.11,95.95,25.81,80.99,-11.64,-4.47,-16.48,5.69,5.46,20.01,-5.46,-5.0,-19.93,5.83,-4.07,-15.7,4.79
-0.45,-0.44,-7.22,-0.33,-0.28,-4.7,-0.85,-0.9,-16.04,-0.59,-0.52,-9.84,-0.43,-0.45,-7.92,-0.49,-0.5,-9.08,-0.21,-0.22,-3.83,-0.62,-0.57,-11.17,0.06,0.09,1.48,-46.69,5.71,347.06,-1052.65,163.72,1112.68,-139.42,-232.08,19.86,216.28,121.19,175.73,-618.67,-970.95,364.31,-12.39,172.13,71.15,-15.88,-75.55,76.44,-4.69,-28.35,5.4,2.04,13.39,-5.61,-3.14,-18.13,7.3,-5.0,-32.12,11.46
-0.3,-0.49,-5.42,-0.24,-0.46,-4.52,-0.05,-0.09,-0.95,-0.81,-1.44,-14.88,-0.37,-0.7,-7.7,-0.41,-0.81,-9.45,-0.17,-0.45,-4.64,-0.08,-0.19,-2.05,-0.19,1.75,17.2,-65.26,21.61,278.2,-1126.56,375.94,1164.03,-10.88,-43.08,21.61,138.29,-52.07,167.7,45.79,-179.02,184.82,-23.51,93.66,51.81,-52.88,-249.08,207.07,5.42,58.31,-9.33,-11.08,-62.62,28.54,-2.0,-11.97,3.24,-1.06,-5.78,1.96
-0.0,0.0,-0.09,-0.37,0.17,-8.96,-0.75,0.33,-16.81,-0.22,0.13,-6.12,-0.08,0.04,-1.78,-0.3,0.13,-6.9,-0.43,0.18,-9.89,0.25,-0.19,9.53,-6.56,-0.23,127.33,-275.72,79.07,618.74,-392.76,173.15,651.82,-103.11,-277.42,53.17,129.55,36.59,210.52,-227.81,-553.09,236.42,-18.08,122.25,61.28,-96.91,-235.43,212.76,8.19,40.72,-7.26,-7.74,-32.24,16.76,-6.31,-28.55,10.65,-5.18,-22.52,8.98
