MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

08:B6:1F:75:ED:80,2025:03:06 16:00:27:900,10.3,3.42,-2.54,0.93,1.18
08:D1:F9:DC:8F:80,2025:03:06 16:00:27:900,565.8,-275.14,204.66,0.93,-1.03
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:000,252.78,-71.09,30.53,1.17,-1.27
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:000,-117.13,16.28,-96.35,-2.97,0.88
08:B6:1F:75:ED:80,2025:03:06 16:00:28:000,-195.9,-26.13,28.46,0.74,1.38
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:000,-358.46,-76.29,89.01,-2.43,-1.25
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:100,833.16,410.29,-591.07,-2.53,-0.86
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:100,-457.04,4.43,-77.28,-3.08,1.4
08:B6:1F:75:ED:80,2025:03:06 16:00:28:100,-235.25,22.76,8.22,-1.22,1.47
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:100,-76.57,-0.09,-25.55,-0.0,-1.25
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:200,53.64,126.66,-146.04,-2.43,-0.27
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:200,-310.34,-40.82,-18.86,2.0,1.43
08:B6:1F:75:ED:80,2025:03:06 16:00:28:200,-233.46,56.03,-26.46,-2.01,1.31
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:200,118.38,35.55,52.85,-0.59,-1.08
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:300,113.21,-265.83,559.49,0.44,-0.18
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:300,113.21,-265.83,559.49,0.44,-0.18
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:300,467.68,-54.34,-16.93,-1.27,1.45
08:B6:1F:75:ED:80,2025:03:06 16:00:28:300,384.99,-76.37,-199.97,-0.36,1.06
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:300,447.55,252.64,-15.28,-1.63,-1.06
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:400,1330.95,711.28,-4749.94,-2.99,-0.27
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:400,-357.65,15.62,-258.13,-3.08,0.94
08:B6:1F:75:ED:80,2025:03:06 16:00:28:400,-514.96,-188.59,364.48,0.48,0.9
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:400,-68.31,-44.99,-15.06,-1.25,-0.96
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:500,-43.94,36.01,24.78,2.17,-0.79
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:500,-58.52,8.36,-40.53,-2.94,0.96
08:B6:1F:75:ED:80,2025:03:06 16:00:28:500,-201.09,-18.65,30.01,0.56,1.4
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:500,1101.76,-1180.23,801.4,0.97,-0.66
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:600,924.04,13.01,-101.17,-3.01,-1.46
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:600,-221.89,6.02,-139.07,-3.1,1.01
08:B6:1F:75:ED:80,2025:03:06 16:00:28:600,-108.44,5.91,11.92,-0.46,1.45
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:600,239.6,21.51,50.92,-0.4,-1.34
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:700,952.36,-92.43,840.88,0.11,-0.84
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:700,-10.89,-0.17,1.76,0.1,1.41
08:B6:1F:75:ED:80,2025:03:06 16:00:28:700,-38.53,17.46,-3.09,-1.75,1.14
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:700,8.39,-1.12,1.05,0.82,-1.39
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:800,-489.62,257.97,128.99,2.03,-1.04
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:800,99.7,9.2,-12.0,0.65,1.42
08:B6:1F:75:ED:80,2025:03:06 16:00:28:800,153.85,-55.27,-11.37,-1.37,1.22
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:800,367.41,22.05,96.47,-0.22,-1.31
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:28:900,3887.29,2410.47,4700.33,-0.47,-0.63
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:28:900,371.77,2.81,178.17,3.13,1.12
08:B6:1F:75:ED:80,2025:03:06 16:00:28:900,279.74,-52.2,-282.42,-0.18,0.77
08:D1:F9:DC:8F:80,2025:03:06 16:00:28:900,-50.11,242.32,40.09,-1.41,0.2
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:000,-1894.88,-1098.21,-1923.17,2.62,0.71
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:000,-49.71,1.73,-31.77,-3.09,1.0
08:B6:1F:75:ED:80,2025:03:06 16:00:29:000,-317.91,73.18,178.33,-0.39,1.03
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:000,566.54,545.74,-108.44,-1.77,-0.79
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:100,18.5,-11.94,-5.34,1.99,-0.96
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:100,-566.68,209.17,-1238.24,-2.97,0.42
08:B6:1F:75:ED:80,2025:03:06 16:00:29:100,-543.0,80.93,302.91,-0.26,1.05
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:100,19.9,13.78,0.28,-1.55,-0.97
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:200,709.14,-408.39,260.1,1.0,-0.97
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:200,-170.04,-1568.82,-2939.9,2.65,0.05
08:B6:1F:75:ED:80,2025:03:06 16:00:29:200,-1711.96,-942.58,-594.82,2.13,0.99
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:200,1459.94,-873.3,276.55,1.26,-1.01
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:300,259.56,430.45,843.08,-0.47,-0.27
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:300,-1181.01,-778.14,-156.21,1.77,0.98
08:B6:1F:75:ED:80,2025:03:06 16:00:29:300,-588.07,-789.64,249.94,1.26,0.62
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:300,7135.95,-11668.16,-4642.58,1.95,-0.52
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:400,-186.39,563.37,1373.06,-0.39,0.12
08:B6:1F:75:ED:80,2025:03:06 16:00:29:400,-71.0,-644.59,1518.36,0.4,0.04
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:400,182.89,6.13,-594.28,-3.13,-0.3
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:400,447.49,1593.61,-592.82,-1.93,-0.26
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:500,-15.47,144.44,-125.88,0.85,-0.08
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:500,-55.79,-373.23,-1747.53,2.93,0.03
08:B6:1F:75:ED:80,2025:03:06 16:00:29:500,-3.98,190.98,970.81,-0.19,0.0
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:500,-85.97,-0.58,-17.91,-0.03,-1.37
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:600,52.08,-61.08,135.93,0.42,-0.34
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:600,-124.25,-53.0,444.86,-3.02,-0.27
08:B6:1F:75:ED:80,2025:03:06 16:00:29:600,-86.97,9.99,163.0,-0.06,0.49
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:600,-176.81,-1.08,-16.19,-0.07,-1.48
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:700,-49.59,41.46,-96.3,0.41,-0.44
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:700,-44.69,-24.22,-401.9,3.08,0.11
08:B6:1F:75:ED:80,2025:03:06 16:00:29:700,-177.81,91.92,318.97,-0.28,0.49
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:700,-63.63,-2.93,-3.27,-0.73,-1.5
B0:B2:1C:8F:6B:C4,2025:03:06 16:00:29:800,80.74,-45.02,146.42,0.3,-0.49
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:29:800,-0.44,-1.78,35.68,-3.09,-0.01
08:B6:1F:75:ED:80,2025:03:06 16:00:29:800,-39.4,14.93,32.01,-0.44,0.84
08:D1:F9:DC:8F:80,2025:03:06 16:00:29:800,1.94,0.13,0.41,-0.3,-1.35

B0:B2:1C:8F:6B:C4,2025:03:06 16:00:44:900,-16.89,5.87,-0.71,1.45,-1.23
CC:7B:5C:AF:BD:F4,2025:03:06 16:00:44:900,28.04,-6.66,11.83,-2.63,1.12
08:B6:1F:75:ED:80,2025:03:06 16:00:44:900,50.36,0.59,-9.84,0.06,1.38
08:D1:F9:DC:8F:80,2025:03:06 16:00:44:900,204.72,39.99,52.02,-0.66,-1.26
