MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:400,-9.43,1.34,-0.69,1.09,-1.41
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:400,41.25,5.6,16.89,2.82,1.16
08:B6:1F:75:ED:80,2025:03:06 16:12:06:400,49.95,8.67,-3.48,1.19,1.39
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:400,226.1,-23.19,67.26,0.33,-1.27
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:500,2.92,-0.61,0.23,1.21,-1.35
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:500,-7.75,-0.77,-2.56,2.85,1.24
08:B6:1F:75:ED:80,2025:03:06 16:12:06:500,82.3,23.82,-8.1,1.24,1.27
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:500,167.47,35.22,1.9,-1.52,-1.36
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:600,60.1,-5.83,5.03,0.86,-1.44
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:600,60.87,2.33,14.0,2.98,1.34
08:B6:1F:75:ED:80,2025:03:06 16:12:06:600,180.23,16.26,-44.43,0.35,1.31
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:600,-120.3,-14.67,-9.97,-0.97,-1.42
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:700,520.38,108.78,-157.29,-2.54,-1.22
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:700,-358.75,-39.59,-90.3,2.73,1.3
08:B6:1F:75:ED:80,2025:03:06 16:12:06:700,-124.71,8.82,12.84,-0.6,1.45
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:700,-3.84,-0.32,-0.48,-0.59,-1.42
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:800,108.87,-51.28,48.07,0.82,-1.0
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:800,98.35,2.1,-16.28,0.13,1.41
08:B6:1F:75:ED:80,2025:03:06 16:12:06:800,-116.03,31.52,58.78,-0.49,1.05
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:800,304.65,-126.0,95.84,0.92,-1.09
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:06:900,-341.25,141.99,54.89,1.94,-1.15
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:06:900,173.51,13.74,-30.92,0.42,1.38
08:B6:1F:75:ED:80,2025:03:06 16:12:06:900,-113.84,-11.88,35.41,0.32,1.25
08:D1:F9:DC:8F:80,2025:03:06 16:12:06:900,1106.63,445.59,27.75,-1.51,-1.19
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:000,3312.66,2072.89,4842.77,-0.4,-0.56
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:000,-113.03,-23.07,-29.14,2.47,1.25
08:B6:1F:75:ED:80,2025:03:06 16:12:07:000,-272.75,-122.94,35.66,1.29,1.13
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:000,-40.97,137.37,-10.68,-1.65,0.29
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:100,123.04,-24.4,-79.01,2.84,-0.98
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:100,-90.68,-12.14,-91.36,3.01,0.78
08:B6:1F:75:ED:80,2025:03:06 16:12:07:100,60.77,16.69,-32.91,0.47,1.03
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:100,630.91,147.9,-21.24,-1.71,-1.34
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:200,-22.38,9.6,2.18,1.79,-1.16
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:200,8.71,2.84,5.81,2.69,0.93
08:B6:1F:75:ED:80,2025:03:06 16:12:07:200,23.06,9.64,-16.71,0.52,0.87
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:200,525.95,-204.23,122.25,1.03,-1.15
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:300,41.16,-17.15,4.29,1.33,-1.17
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:300,-40.26,-12.05,-29.43,2.75,0.9
08:B6:1F:75:ED:80,2025:03:06 16:12:07:300,-36.05,-12.33,9.16,0.93,1.17
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:300,427.26,64.01,-90.96,-2.53,-1.32
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:400,800.57,136.9,-167.28,-2.46,-1.31
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:400,-264.36,-38.8,-115.94,2.82,1.14
08:B6:1F:75:ED:80,2025:03:06 16:12:07:400,-302.34,-23.13,-31.78,2.51,1.44
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:400,370.37,-82.21,105.38,0.66,-1.22
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:500,609.63,-82.01,481.56,0.17,-0.9
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:500,-54.22,1.7,-4.7,-2.79,1.48
08:B6:1F:75:ED:80,2025:03:06 16:12:07:500,5.83,-3.36,0.21,-1.63,1.05
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:500,1329.36,318.17,122.64,-1.2,-1.32
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:600,-432.07,-292.79,2399.84,0.12,0.18
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:600,-133.27,141.0,-629.66,0.22,-0.2
08:B6:1F:75:ED:80,2025:03:06 16:12:07:600,186.91,48.79,-409.37,0.12,0.43
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:600,-2553.16,2155.95,-898.38,-1.97,0.83
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:700,29.01,12.43,-64.3,-2.95,-0.42
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:700,-713.43,-191.85,-378.26,2.67,1.03
08:B6:1F:75:ED:80,2025:03:06 16:12:07:700,280.85,-48.49,-40.01,-0.88,1.35
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:700,-429.14,146.67,-189.85,-2.48,1.06
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:800,49.1,14.28,49.17,2.86,0.76
CC:7B:5C:AF:BD:F4,2025:03:06 16:12:07:800,-763.19,-10.82,9.96,0.83,1.55
08:B6:1F:75:ED:80,2025:03:06 16:12:07:800,-978.97,318.63,-224.73,-2.19,1.19
08:D1:F9:DC:8F:80,2025:03:06 16:12:07:800,-168.58,26.72,-17.4,0.99,-1.38
B0:B2:1C:8F:6B:C4,2025:03:06 16:12:07:900,-3.47,14.93,-8.28,1.06,-0.2
